brgy,municity,prov,score
SAN MATEO,BATAC,ILOCOS NORTE,1.00
SAN MATEO,BATAC,ILOCOS NORTE,1.00
SAN PEDRO,BATAC,ILOCOS NORTE,1.00
SAN PEDRO,BATAC,ILOCOS NORTE,1.00
SAN MATEO,BATAC,ILOCOS NORTE,1.00
BAOA EAST,BATAC,ILOCOS NORTE,1.00
BAOA EAST,BATAC,ILOCOS NORTE,1.00
BAOA WEST,BATAC,ILOCOS NORTE,1.00
BAOA WEST,BATAC,ILOCOS NORTE,1.00
CAMANDINGAN,BATAC,ILOCOS NORTE,1.00
CAMANDINGAN,BATAC,ILOCOS NORTE,1.00
PALONGPONG,BATAC,ILOCOS NORTE,1.00
PALONGPONG,BATAC,ILOCOS NORTE,1.00
NAGBACALAN,BATAC,ILOCOS NORTE,1.00
NAGBACALAN,BATAC,ILOCOS NORTE,1.00
RAYURAY,BATAC,ILOCOS NORTE,1.00
RAYURAY,BATAC,ILOCOS NORTE,1.00
DARIWDIW,BATAC,ILOCOS NORTE,1.00
DARIWDIW,BATAC,ILOCOS NORTE,1.00
BIL-LOCA,BATAC,ILOCOS NORTE,1.00
BIL-LOCA,BATAC,ILOCOS NORTE,1.00
BAAY,BATAC,ILOCOS NORTE,0.84
VALDEZ,BATAC,ILOCOS NORTE,1.00
VALDEZ,BATAC,ILOCOS NORTE,1.00
VALDEZ,BATAC,ILOCOS NORTE,1.00
ABLAN POB. LABUCAO,BATAC,ILOCOS NORTE,1.00
CANGRUNAAN POB.,BATAC,ILOCOS NORTE,1.00
CANGRUNAAN POB.,BATAC,ILOCOS NORTE,1.00
BAAY,BATAC,ILOCOS NORTE,0.84
BAAY,BATAC,ILOCOS NORTE,0.84
CALLAGUIP,BATAC,ILOCOS NORTE,0.95
SAN JULIAN POB.,BATAC,ILOCOS NORTE,1.00
CAUNAYAN,BATAC,ILOCOS NORTE,1.00
ACOSTA,BATAC,ILOCOS NORTE,1.00
ACOSTA,BATAC,ILOCOS NORTE,1.00
AGLIPAY,BATAC,ILOCOS NORTE,1.00
LACUB POB.,BATAC,ILOCOS NORTE,1.00
BARANI POB.,BATAC,ILOCOS NORTE,1.00
BEN-AGAN POB.,BATAC,ILOCOS NORTE,0.94
PALPALICONG,BATAC,ILOCOS NORTE,1.00
BAAY,BATAC,ILOCOS NORTE,1.00
BAAY,BATAC,ILOCOS NORTE,1.00
BALIGAT,BATAC,ILOCOS NORTE,1.00
BALIGAT,BATAC,ILOCOS NORTE,1.00
QUILING NORTE,BATAC,ILOCOS NORTE,1.00
QUILING SUR,BATAC,ILOCOS NORTE,1.00
QUILING SUR,BATAC,ILOCOS NORTE,1.00
TABUG,BATAC,ILOCOS NORTE,1.00
MAGNUANG,BATAC,ILOCOS NORTE,1.00
PIMENTEL,BATAC,ILOCOS NORTE,1.00
COLO,BATAC,ILOCOS NORTE,1.00
COLO,BATAC,ILOCOS NORTE,1.00
QUIOM,BATAC,ILOCOS NORTE,1.00
QUIOM,BATAC,ILOCOS NORTE,1.00
MAIPALIG,BATAC,ILOCOS NORTE,1.00
BININGAN,BATAC,ILOCOS NORTE,1.00
SUMADER,BATAC,ILOCOS NORTE,1.00
SUMADER,BATAC,ILOCOS NORTE,1.00
CAMGUIDAN,BATAC,ILOCOS NORTE,1.00
PAYAO,BATAC,ILOCOS NORTE,1.00
PAYAO,BATAC,ILOCOS NORTE,1.00
PARANGOPONG,BATAC,ILOCOS NORTE,1.00
NAGUIRANGAN,BATAC,ILOCOS NORTE,1.00
NAGUIRANGAN,BATAC,ILOCOS NORTE,1.00
CAPACUAN,BATAC,ILOCOS NORTE,1.00
SAN MATEO,BATAC,ILOCOS NORTE,1.00
SAN MATEO,BATAC,ILOCOS NORTE,1.00
SAN MATEO,BATAC,ILOCOS NORTE,1.00
SAN PEDRO,BATAC,ILOCOS NORTE,1.00
BAOA EAST,BATAC,ILOCOS NORTE,1.00
BAOA EAST,BATAC,ILOCOS NORTE,1.00
BAOA WEST,BATAC,ILOCOS NORTE,1.00
BAOA WEST,BATAC,ILOCOS NORTE,1.00
CAMANDINGAN,BATAC,ILOCOS NORTE,1.00
CAMANDINGAN,BATAC,ILOCOS NORTE,1.00
PALONGPONG,BATAC,ILOCOS NORTE,1.00
NAGBACALAN,BATAC,ILOCOS NORTE,1.00
NAGBACALAN,BATAC,ILOCOS NORTE,1.00
RAYURAY,BATAC,ILOCOS NORTE,1.00
RAYURAY,BATAC,ILOCOS NORTE,1.00
DARIWDIW,BATAC,ILOCOS NORTE,1.00
DARIWDIW,BATAC,ILOCOS NORTE,1.00
BIL-LOCA,BATAC,ILOCOS NORTE,1.00
BIL-LOCA,BATAC,ILOCOS NORTE,1.00
BIL-LOCA,BATAC,ILOCOS NORTE,1.00
,BURGOS,ILOCOS NORTE,1.00
POBLACION,BURGOS,ILOCOS NORTE,1.00
POBLACION,BURGOS,ILOCOS NORTE,1.00
POBLACION,BURGOS,ILOCOS NORTE,1.00
AGAGA,BURGOS,ILOCOS NORTE,1.00
BUDUAN MALITUEK,BURGOS,ILOCOS NORTE,1.00
POBLACION,BURGOS,ILOCOS NORTE,1.00
,,,
BAYOG,BURGOS,ILOCOS NORTE,1.00
BOBON,BURGOS,ILOCOS NORTE,1.00
NAGSUROT,BURGOS,ILOCOS NORTE,1.00
PAAYAS,BURGOS,ILOCOS NORTE,1.00
SAOIT,BURGOS,ILOCOS NORTE,1.00
TANAP,BURGOS,ILOCOS NORTE,1.00
POBLACION,BURGOS,ILOCOS NORTE,1.00
PAAYAS,BURGOS,ILOCOS NORTE,1.00
BOBON,BURGOS,ILOCOS NORTE,1.00
BAYOG,BURGOS,ILOCOS NORTE,1.00
,,,
PAGALI,BURGOS,ILOCOS NORTE,1.00
SAOIT,BURGOS,ILOCOS NORTE,1.00
POBLACION,BURGOS,ILOCOS NORTE,1.00
BUDUAN MALITUEK,BURGOS,ILOCOS NORTE,1.00
NAGSUROT,BURGOS,ILOCOS NORTE,1.00
TANAP,BURGOS,ILOCOS NORTE,1.00
AGAGA,BURGOS,ILOCOS NORTE,1.00
BARBAQUESO POB.,CARASI,ILOCOS NORTE,0.94
VIRBIRA,CARASI,ILOCOS NORTE,1.00
BARBAQUESO POB.,CARASI,ILOCOS NORTE,0.94
BARBAQUESO POB.,CARASI,ILOCOS NORTE,0.94
VIRBIRA,CARASI,ILOCOS NORTE,1.00
BARBAQUESO POB.,CARASI,ILOCOS NORTE,0.94
POBLACION 2,CURRIMAO,ILOCOS NORTE,0.95
POBLACION 2,CURRIMAO,ILOCOS NORTE,1.00
PANGIL,CURRIMAO,ILOCOS NORTE,1.00
BIMMANGA,CURRIMAO,ILOCOS NORTE,1.00
VICTORIA,CURRIMAO,ILOCOS NORTE,1.00
GAANG,CURRIMAO,ILOCOS NORTE,1.00
MAGLAOI CENTRO,CURRIMAO,ILOCOS NORTE,1.00
GAANG,CURRIMAO,ILOCOS NORTE,0.84
SALUGAN,CURRIMAO,ILOCOS NORTE,1.00
COMCOMLOONG,CURRIMAO,ILOCOS NORTE,1.00
GAANG,CURRIMAO,ILOCOS NORTE,0.84
BIMMANGA,CURRIMAO,ILOCOS NORTE,1.00
MAGLAOI CENTRO,CURRIMAO,ILOCOS NORTE,1.00
TORRE,CURRIMAO,ILOCOS NORTE,0.83
POBLACION 2,CURRIMAO,ILOCOS NORTE,1.00
POBLACION 2,CURRIMAO,ILOCOS NORTE,0.92
PIAS NORTE,CURRIMAO,ILOCOS NORTE,1.00
PIAS NORTE,CURRIMAO,ILOCOS NORTE,1.00
VICTORIA,CURRIMAO,ILOCOS NORTE,1.00
,DINGRAS,ILOCOS NORTE,1.00
MADAMBA POB.,DINGRAS,ILOCOS NORTE,1.00
MADAMBA POB.,DINGRAS,ILOCOS NORTE,1.00
MADAMBA POB.,DINGRAS,ILOCOS NORTE,1.00
GUERRERO,DINGRAS,ILOCOS NORTE,1.00
BACSIL,DINGRAS,ILOCOS NORTE,1.00
BAGUT,DINGRAS,ILOCOS NORTE,1.00
BARESBES,DINGRAS,ILOCOS NORTE,1.00
BARONG,DINGRAS,ILOCOS NORTE,1.00
BARONG,DINGRAS,ILOCOS NORTE,1.00
SALUDARES,DINGRAS,ILOCOS NORTE,1.00
CAPASAN,DINGRAS,ILOCOS NORTE,1.00
LANAS,DINGRAS,ILOCOS NORTE,1.00
ESPIRITU,DINGRAS,ILOCOS NORTE,1.00
FOZ,DINGRAS,ILOCOS NORTE,1.00
,,,
MANDALOQUE,DINGRAS,ILOCOS NORTE,1.00
PARADO BANGAY,DINGRAS,ILOCOS NORTE,1.00
PERALTA,DINGRAS,ILOCOS NORTE,1.00
SAN ESTEBAN,DINGRAS,ILOCOS NORTE,1.00
MADAMBA POB.,DINGRAS,ILOCOS NORTE,1.00
MADAMBA POB.,DINGRAS,ILOCOS NORTE,1.00
GUERRERO,DINGRAS,ILOCOS NORTE,1.00
BACSIL,DINGRAS,ILOCOS NORTE,1.00
BAGUT,DINGRAS,ILOCOS NORTE,1.00
BARESBES,DINGRAS,ILOCOS NORTE,1.00
BARONG,DINGRAS,ILOCOS NORTE,1.00
BARONG,DINGRAS,ILOCOS NORTE,1.00
SALUDARES,DINGRAS,ILOCOS NORTE,1.00
CAPASAN,DINGRAS,ILOCOS NORTE,1.00
LANAS,DINGRAS,ILOCOS NORTE,1.00
ESPIRITU,DINGRAS,ILOCOS NORTE,1.00
FOZ,DINGRAS,ILOCOS NORTE,1.00
,,,
MANDALOQUE,DINGRAS,ILOCOS NORTE,1.00
PARADO BANGAY,DINGRAS,ILOCOS NORTE,1.00
PERALTA,DINGRAS,ILOCOS NORTE,1.00
SAN ESTEBAN,DINGRAS,ILOCOS NORTE,1.00
DUMALNEG,DUMALNEG,ILOCOS NORTE,1.00
DUMALNEG,DUMALNEG,ILOCOS NORTE,1.00
DUMALNEG,DUMALNEG,ILOCOS NORTE,1.00
DUMALNEG,DUMALNEG,ILOCOS NORTE,1.00
DUMALNEG,DUMALNEG,ILOCOS NORTE,1.00
DUMALNEG,DUMALNEG,ILOCOS NORTE,1.00
DUMALNEG,DUMALNEG,ILOCOS NORTE,1.00
DUMALNEG,DUMALNEG,ILOCOS NORTE,1.00
DUMALNEG,DUMALNEG,ILOCOS NORTE,1.00
DUMALNEG,DUMALNEG,ILOCOS NORTE,1.00
,BANNA ESPIRITU,ILOCOS NORTE,1.00
BARBARANGAY,BANNA ESPIRITU,ILOCOS NORTE,0.84
BARBARANGAY,BANNA ESPIRITU,ILOCOS NORTE,0.84
BARBARANGAY,BANNA ESPIRITU,ILOCOS NORTE,0.84
BARBARANGAY,BANNA ESPIRITU,ILOCOS NORTE,0.84
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
BGY. NO. 11,LAOAG,ILOCOS NORTE,0.90
"BGY. NO. 40, BALATONG",LAOAG,ILOCOS NORTE,1.00
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
"BGY. NO. 54-B, CAMANGAAN",LAOAG,ILOCOS NORTE,0.87
"BGY. NO. 50, BUTTONG",LAOAG,ILOCOS NORTE,1.00
BGY. NO. 23,LAOAG,ILOCOS NORTE,1.00
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
BGY. NO. 52-B,LAOAG,ILOCOS NORTE,0.85
SAN PEDRO,LAOAG,ILOCOS NORTE,1.00
LYDIA,MARCOS,ILOCOS NORTE,1.00
LYDIA,MARCOS,ILOCOS NORTE,1.00
LYDIA,MARCOS,ILOCOS NORTE,1.00
LYDIA,MARCOS,ILOCOS NORTE,1.00
LYDIA,MARCOS,ILOCOS NORTE,1.00
LYDIA,MARCOS,ILOCOS NORTE,1.00
CAPARIAAN,MARCOS,ILOCOS NORTE,1.00
CAPARIAAN,MARCOS,ILOCOS NORTE,1.00
MABUTI,MARCOS,ILOCOS NORTE,1.00
DAQUIOAG,MARCOS,ILOCOS NORTE,1.00
DAQUIOAG,MARCOS,ILOCOS NORTE,1.00
VALDEZ BIDING,MARCOS,ILOCOS NORTE,1.00
FORTUNA,MARCOS,ILOCOS NORTE,1.00
FORTUNA,MARCOS,ILOCOS NORTE,1.00
ESCODA,MARCOS,ILOCOS NORTE,1.00
PACIFICO AGUNIT,MARCOS,ILOCOS NORTE,1.00
PACIFICO AGUNIT,MARCOS,ILOCOS NORTE,1.00
PACIFICO AGUNIT,MARCOS,ILOCOS NORTE,1.00
TABUCBUC RAGAS,MARCOS,ILOCOS NORTE,1.00
TABUCBUC RAGAS,MARCOS,ILOCOS NORTE,1.00
SANTIAGO,MARCOS,ILOCOS NORTE,1.00
SANTIAGO,MARCOS,ILOCOS NORTE,1.00
POBLACION,NUEVA ERA,ILOCOS NORTE,1.00
POBLACION,NUEVA ERA,ILOCOS NORTE,0.73
POBLACION,NUEVA ERA,ILOCOS NORTE,1.00
POBLACION,NUEVA ERA,ILOCOS NORTE,1.00
,PAGUDPUD,ILOCOS NORTE,1.00
,PAGUDPUD,ILOCOS NORTE,1.00
,PAGUDPUD,ILOCOS NORTE,1.00
,PAGUDPUD,ILOCOS NORTE,1.00
,PAGUDPUD,ILOCOS NORTE,1.00
,PAGUDPUD,ILOCOS NORTE,1.00
,PAGUDPUD,ILOCOS NORTE,1.00
,PAGUDPUD,ILOCOS NORTE,1.00
,PAGUDPUD,ILOCOS NORTE,1.00
,PAGUDPUD,ILOCOS NORTE,1.00
,PAGUDPUD,ILOCOS NORTE,1.00
,PAGUDPUD,ILOCOS NORTE,1.00
,PAGUDPUD,ILOCOS NORTE,1.00
POBLACION 1,PAGUDPUD,ILOCOS NORTE,1.00
POBLACION 2,PAGUDPUD,ILOCOS NORTE,1.00
AGGASI,PAGUDPUD,ILOCOS NORTE,1.00
BADUANG,PAGUDPUD,ILOCOS NORTE,1.00
BADUANG,PAGUDPUD,ILOCOS NORTE,1.00
BADUANG,PAGUDPUD,ILOCOS NORTE,1.00
BALAOI,PAGUDPUD,ILOCOS NORTE,1.00
BURAYOC,PAGUDPUD,ILOCOS NORTE,1.00
CAPARISPISAN,PAGUDPUD,ILOCOS NORTE,1.00
CAUNAYAN,PAGUDPUD,ILOCOS NORTE,1.00
DAMPIG,PAGUDPUD,ILOCOS NORTE,1.00
PANCIAN,PAGUDPUD,ILOCOS NORTE,1.00
PASALENG,PAGUDPUD,ILOCOS NORTE,1.00
PASALENG,PAGUDPUD,ILOCOS NORTE,1.00
PASALENG,PAGUDPUD,ILOCOS NORTE,1.00
SAGUIGUI,PAGUDPUD,ILOCOS NORTE,1.00
SAUD,PAGUDPUD,ILOCOS NORTE,1.00
SUBEC,PAGUDPUD,ILOCOS NORTE,1.00
TARRAG,PAGUDPUD,ILOCOS NORTE,1.00
LAOA,PAOAY,ILOCOS NORTE,0.87
PARATONG,PAOAY,ILOCOS NORTE,1.00
PASIL,PAOAY,ILOCOS NORTE,1.00
BACSIL,PAOAY,ILOCOS NORTE,1.00
SUBA,PAOAY,ILOCOS NORTE,1.00
CALLAGUIP,PAOAY,ILOCOS NORTE,1.00
CALLAGUIP,PAOAY,ILOCOS NORTE,1.00
SAN AGUSTIN,PAOAY,ILOCOS NORTE,1.00
PASIL,PAOAY,ILOCOS NORTE,1.00
MONTE,PAOAY,ILOCOS NORTE,1.00
,,,
,,,
DAVILA,PASUQUIN,ILOCOS NORTE,1.00
DAVILA,PASUQUIN,ILOCOS NORTE,1.00
DILAVO,PASUQUIN,ILOCOS NORTE,1.00
CARUAN,PASUQUIN,ILOCOS NORTE,1.00
SUSUGAEN,PASUQUIN,ILOCOS NORTE,1.00
PUYUPUYAN,PASUQUIN,ILOCOS NORTE,1.00
NAGLICUAN,PASUQUIN,ILOCOS NORTE,1.00
BINSANG,PASUQUIN,ILOCOS NORTE,1.00
PANGIL,PASUQUIN,ILOCOS NORTE,1.00
TABUNGAO,PASUQUIN,ILOCOS NORTE,1.00
DADAEMAN,PASUQUIN,ILOCOS NORTE,1.00
DILANIS,PASUQUIN,ILOCOS NORTE,1.00
SANTA CATALINA,PASUQUIN,ILOCOS NORTE,0.91
NAGSANGA,PASUQUIN,ILOCOS NORTE,1.00
SULBEC,PASUQUIN,ILOCOS NORTE,1.00
SURONG,PASUQUIN,ILOCOS NORTE,1.00
SAN JUAN,PASUQUIN,ILOCOS NORTE,1.00
SANTA MATILDE,PASUQUIN,ILOCOS NORTE,0.91
CARUSIKIS,PASUQUIN,ILOCOS NORTE,0.94
TADAO,PASUQUIN,ILOCOS NORTE,1.00
POBLACION 2,PASUQUIN,ILOCOS NORTE,1.00
POBLACION 2,PASUQUIN,ILOCOS NORTE,1.00
POBLACION 3,PASUQUIN,ILOCOS NORTE,1.00
POBLACION 4,PASUQUIN,ILOCOS NORTE,1.00
POBLACION 2,PASUQUIN,ILOCOS NORTE,1.00
,,,
,,,
,,,
DARUPIDIP,PASUQUIN,ILOCOS NORTE,1.00
PRAGATA-BUNGRO,PASUQUIN,ILOCOS NORTE,1.00
SUSUGAEN,PASUQUIN,ILOCOS NORTE,1.00
SULONGAN,PASUQUIN,ILOCOS NORTE,1.00
SALPAD,PASUQUIN,ILOCOS NORTE,1.00
SAPAT,PASUQUIN,ILOCOS NORTE,1.00
POBLACION 1,PASUQUIN,ILOCOS NORTE,1.00
POBLACION 3,PASUQUIN,ILOCOS NORTE,1.00
POBLACION 1,PASUQUIN,ILOCOS NORTE,1.00
DAVILA,PASUQUIN,ILOCOS NORTE,1.00
DAVILA,PASUQUIN,ILOCOS NORTE,1.00
DILAVO,PASUQUIN,ILOCOS NORTE,1.00
CARUAN,PASUQUIN,ILOCOS NORTE,1.00
NALVO CABABAAN-NALVO,PASUQUIN,ILOCOS NORTE,1.00
PUYUPUYAN,PASUQUIN,ILOCOS NORTE,1.00
NAGLICUAN,PASUQUIN,ILOCOS NORTE,1.00
BINSANG,PASUQUIN,ILOCOS NORTE,1.00
PANGIL,PASUQUIN,ILOCOS NORTE,1.00
TABUNGAO,PASUQUIN,ILOCOS NORTE,1.00
DADAEMAN,PASUQUIN,ILOCOS NORTE,1.00
DILANIS,PASUQUIN,ILOCOS NORTE,1.00
SANTA CATALINA,PASUQUIN,ILOCOS NORTE,0.91
NAGSANGA,PASUQUIN,ILOCOS NORTE,1.00
SULBEC,PASUQUIN,ILOCOS NORTE,1.00
SURONG,PASUQUIN,ILOCOS NORTE,1.00
SAN JUAN,PASUQUIN,ILOCOS NORTE,1.00
SANTA MATILDE,PASUQUIN,ILOCOS NORTE,0.91
CARUSIKIS,PASUQUIN,ILOCOS NORTE,1.00
TADAO,PASUQUIN,ILOCOS NORTE,1.00
POBLACION 2,PASUQUIN,ILOCOS NORTE,1.00
DAVILA,PASUQUIN,ILOCOS NORTE,1.00
POBLACION 1,PASUQUIN,ILOCOS NORTE,1.00
POBLACION 3,PASUQUIN,ILOCOS NORTE,1.00
POBLACION 4,PASUQUIN,ILOCOS NORTE,1.00
POBLACION 2,PASUQUIN,ILOCOS NORTE,1.00
,,,
NGABANGAB,PASUQUIN,ILOCOS NORTE,1.00
CARUSIPAN,PASUQUIN,ILOCOS NORTE,1.00
DARUPIDIP,PASUQUIN,ILOCOS NORTE,1.00
PRAGATA-BUNGRO,PASUQUIN,ILOCOS NORTE,1.00
SUSUGAEN,PASUQUIN,ILOCOS NORTE,1.00
SULONGAN,PASUQUIN,ILOCOS NORTE,0.94
SALPAD,PASUQUIN,ILOCOS NORTE,1.00
SAPAT,PASUQUIN,ILOCOS NORTE,1.00
,,,
MANGITAYAG,PIDDIG,ILOCOS NORTE,1.00
MAAB-ABACA,PIDDIG,ILOCOS NORTE,0.95
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
ANAO,PIDDIG,ILOCOS NORTE,1.00
ANAO,PIDDIG,ILOCOS NORTE,1.00
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
ANAO,PIDDIG,ILOCOS NORTE,1.00
ANAO,PIDDIG,ILOCOS NORTE,1.00
VALBUENA POB.,PINILI,ILOCOS NORTE,1.00
VALBUENA POB.,PINILI,ILOCOS NORTE,1.00
VALBUENA POB.,PINILI,ILOCOS NORTE,1.00
VALBUENA POB.,PINILI,ILOCOS NORTE,1.00
PAGDILAO POB.,PINILI,ILOCOS NORTE,1.00
SAN FRANCISCO,SAN NICOLAS,ILOCOS NORTE,1.00
SAN BALTAZAR,SAN NICOLAS,ILOCOS NORTE,1.00
SAN ILDEFONSO,SAN NICOLAS,ILOCOS NORTE,1.00
SAN ILDEFONSO,SAN NICOLAS,ILOCOS NORTE,1.00
SAN ILDEFONSO,SAN NICOLAS,ILOCOS NORTE,1.00
SAN ILDEFONSO,SAN NICOLAS,ILOCOS NORTE,1.00
SAN BARTOLOME POB.,SAN NICOLAS,ILOCOS NORTE,1.00
SAN SILVESTRE,SAN NICOLAS,ILOCOS NORTE,1.00
,,,
SAN MIGUEL,SAN NICOLAS,ILOCOS NORTE,1.00
SAN MIGUEL,SAN NICOLAS,ILOCOS NORTE,1.00
SAN RUFINO POB.,SAN NICOLAS,ILOCOS NORTE,1.00
SAN LUCAS POB.,SAN NICOLAS,ILOCOS NORTE,1.00
